Date	"Time, GMT+00:00"	"Temp, °C()"
7/21/2010	16:45:00	14.266
7/21/2010	17:15:00	14.17
7/21/2010	17:45:00	14.266
7/21/2010	18:15:00	14.314
7/21/2010	18:45:00	14.433
7/21/2010	19:15:00	14.457
7/21/2010	19:45:00	14.457
7/21/2010	20:15:00	14.457
7/21/2010	20:45:00	14.409
7/21/2010	21:15:00	14.553
7/21/2010	21:45:00	14.529
7/21/2010	22:15:00	14.481
7/21/2010	22:45:00	14.385
7/21/2010	23:15:00	13.93
7/21/2010	23:45:00	14.074
7/22/2010	0:15:00	14.146
7/22/2010	0:45:00	13.954
7/22/2010	1:15:00	13.377
7/22/2010	1:45:00	13.281
7/22/2010	2:15:00	13.257
7/22/2010	2:45:00	12.968
7/22/2010	3:15:00	12.944
7/22/2010	3:45:00	12.847
7/22/2010	4:15:00	12.799
7/22/2010	4:45:00	13.016
7/22/2010	5:15:00	12.413
7/22/2010	5:45:00	12.703
7/22/2010	6:15:00	12.751
7/22/2010	6:45:00	12.654
7/22/2010	7:15:00	12.775
7/22/2010	7:45:00	13.04
7/22/2010	8:15:00	13.233
7/22/2010	8:45:00	13.329
7/22/2010	9:15:00	13.401
7/22/2010	9:45:00	13.305
7/22/2010	10:15:00	13.305
7/22/2010	10:45:00	13.257
7/22/2010	11:15:00	13.137
7/22/2010	11:45:00	13.161
7/22/2010	12:15:00	13.112
7/22/2010	12:45:00	13.257
7/22/2010	13:15:00	12.968
7/22/2010	13:45:00	12.871
7/22/2010	14:15:00	12.751
7/22/2010	14:45:00	12.558
7/22/2010	15:15:00	12.485
7/22/2010	15:45:00	12.461
7/22/2010	16:15:00	12.461
7/22/2010	16:45:00	12.34
7/22/2010	17:15:00	12.654
7/22/2010	17:45:00	12.968
7/22/2010	18:15:00	12.896
7/22/2010	18:45:00	12.92
7/22/2010	19:15:00	12.968
7/22/2010	19:45:00	12.92
7/22/2010	20:15:00	12.654
7/22/2010	20:45:00	12.799
7/22/2010	21:15:00	13.112
7/22/2010	21:45:00	13.209
7/22/2010	22:15:00	13.522
7/22/2010	22:45:00	13.449
7/22/2010	23:15:00	13.449
7/22/2010	23:45:00	13.57
7/23/2010	0:15:00	13.57
7/23/2010	0:45:00	13.522
7/23/2010	1:15:00	13.473
7/23/2010	1:45:00	13.425
7/23/2010	2:15:00	13.882
7/23/2010	2:45:00	14.577
7/23/2010	3:15:00	14.314
7/23/2010	3:45:00	14.792
7/23/2010	4:15:00	14.888
7/23/2010	4:45:00	14.361
7/23/2010	5:15:00	14.098
7/23/2010	5:45:00	13.978
7/23/2010	6:15:00	13.954
7/23/2010	6:45:00	13.666
7/23/2010	7:15:00	13.522
7/23/2010	7:45:00	13.57
7/23/2010	8:15:00	12.896
7/23/2010	8:45:00	12.34
7/23/2010	9:15:00	12.437
7/23/2010	9:45:00	12.461
7/23/2010	10:15:00	12.389
7/23/2010	10:45:00	12.413
7/23/2010	11:15:00	12.243
7/23/2010	11:45:00	12.219
7/23/2010	12:15:00	12.147
7/23/2010	12:45:00	12.122
7/23/2010	13:15:00	12.05
7/23/2010	13:45:00	12.025
7/23/2010	14:15:00	12.001
7/23/2010	14:45:00	11.977
7/23/2010	15:15:00	12.219
7/23/2010	15:45:00	12.316
7/23/2010	16:15:00	12.437
7/23/2010	16:45:00	12.509
7/23/2010	17:15:00	12.678
7/23/2010	17:45:00	12.654
7/23/2010	18:15:00	12.534
7/23/2010	18:45:00	12.509
7/23/2010	19:15:00	12.292
7/23/2010	19:45:00	12.268
7/23/2010	20:15:00	12.389
7/23/2010	20:45:00	12.703
7/23/2010	21:15:00	12.992
7/23/2010	21:45:00	13.016
7/23/2010	22:15:00	13.016
7/23/2010	22:45:00	12.847
7/23/2010	23:15:00	12.606
7/23/2010	23:45:00	12.389
7/24/2010	0:15:00	12.364
7/24/2010	0:45:00	12.751
7/24/2010	1:15:00	12.558
7/24/2010	1:45:00	11.977
7/24/2010	2:15:00	11.88
7/24/2010	2:45:00	11.783
7/24/2010	3:15:00	11.88
7/24/2010	3:45:00	11.929
7/24/2010	4:15:00	12.05
7/24/2010	4:45:00	12.098
7/24/2010	5:15:00	12.268
7/24/2010	5:45:00	12.389
7/24/2010	6:15:00	12.413
7/24/2010	6:45:00	12.292
